Operand type,Crossover,Mutation
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Swap
Crossover,PMX,nan
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Inversion
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Inversion
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,CX,nan
Crossover,OX,nan
Crossover,OX,nan
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,CX,nan
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,OX,nan
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Swap
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,OX,nan
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Scramble
mutation,nan,Swap
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
Crossover,OX,nan
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Swap
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,CX,nan
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Swap
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Scramble
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,CX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Swap
mutation,nan,Scramble
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Swap
Crossover,CX,nan
Crossover,PMX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,OX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,CX,nan
Crossover,CX,nan
Crossover,OX,nan
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,CX,nan
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,CX,nan
mutation,nan,Swap
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Swap
Crossover,CX,nan
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,CX,nan
Crossover,OX,nan
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,OX,nan
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,OX,nan
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,OX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,CX,nan
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Inversion
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Scramble
mutation,nan,Swap
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Swap
Crossover,PMX,nan
Crossover,OX,nan
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,CX,nan
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,CX,nan
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Scramble
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Scramble
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Swap
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,OX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,OX,nan
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Swap
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Scramble
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Scramble
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,CX,nan
Crossover,CX,nan
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Scramble
mutation,nan,Swap
Crossover,OX,nan
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Swap
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Swap
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Swap
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Swap
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Inversion
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,CX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Inversion
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Swap
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Inversion
Crossover,CX,nan
Crossover,CX,nan
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Swap
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,CX,nan
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,CX,nan
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,CX,nan
Crossover,CX,nan
Crossover,CX,nan
Crossover,CX,nan
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Swap
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,CX,nan
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Scramble
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,CX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Swap
Crossover,PMX,nan
Crossover,CX,nan
Crossover,PMX,nan
Crossover,CX,nan
Crossover,CX,nan
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Swap
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Swap
Crossover,PMX,nan
Crossover,CX,nan
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,OX,nan
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,OX,nan
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Swap
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,CX,nan
Crossover,OX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
Crossover,PMX,nan
Crossover,CX,nan
Crossover,CX,nan
Crossover,OX,nan
Crossover,OX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Scramble
mutation,nan,Swap
Crossover,OX,nan
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Swap
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Swap
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
Crossover,OX,nan
Crossover,CX,nan
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Swap
mutation,nan,Scramble
mutation,nan,Scramble
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,CX,nan
mutation,nan,Swap
Crossover,CX,nan
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Swap
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,CX,nan
mutation,nan,Swap
mutation,nan,Swap
Crossover,CX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,PMX,nan
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Swap
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Swap
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Swap
Crossover,CX,nan
mutation,nan,Scramble
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Swap
Crossover,PMX,nan
Crossover,PMX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,PMX,nan
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Swap
Crossover,OX,nan
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Inversion
mutation,nan,Swap
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,PMX,nan
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Inversion
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Scramble
mutation,nan,Swap
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Inversion
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,CX,nan
mutation,nan,Inversion
mutation,nan,Inversion
Crossover,PMX,nan
Crossover,OX,nan
mutation,nan,Swap
Crossover,OX,nan
mutation,nan,Swap
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Swap
mutation,nan,Scramble
mutation,nan,Swap
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Inversion
mutation,nan,Scramble
Crossover,CX,nan
Crossover,OX,nan
mutation,nan,Scramble
mutation,nan,Scramble
Crossover,CX,nan
Crossover,PMX,nan
Crossover,CX,nan
mutation,nan,Scramble
Crossover,PMX,nan
Crossover,CX,nan
Crossover,CX,nan
mutation,nan,Swap
Crossover,PMX,nan
Crossover,OX,nan
Crossover,PMX,nan
mutation,nan,Inversion
Crossover,OX,nan
mutation,nan,Scramble
Crossover,OX,nan
Crossover,OX,nan
mutation,nan,Swap
mutation,nan,Inversion
Crossover,CX,nan
Crossover,OX,nan
Crossover,CX,nan
Crossover,PMX,nan
mutation,nan,Swap
